Index,Time,velocity,voltage
867,1.734467,0,0
868,1.736269,0,0
869,1.738273,0,0
870,1.740305,0,0
871,1.742435,0,0
872,1.744279,0,0
873,1.746377,0,0
874,1.748275,0,0
875,1.750365,0,0
876,1.752548,0,0
877,1.754304,0,0
878,1.756369,0,0
879,1.758372,0,0
880,1.760307,0,0
881,1.762436,0,0
882,1.764271,0,0
883,1.766278,0,0
884,1.768279,0,0
885,1.770465,0,0
886,1.772269,0,0
887,1.774481,0,0
888,1.776310,0,0
889,1.778274,0,0
890,1.780273,0,0
891,1.782310,0,0
892,1.784518,0,0
893,1.786274,0,0
894,1.788302,0,0
895,1.790274,0,0
896,1.792276,0,0
897,1.794505,0,0
898,1.796317,0,0
899,1.798274,0,0
900,1.800313,0,0
901,1.802300,0,0
902,1.804405,0,0
903,1.806500,0,0
904,1.808279,0,0
905,1.810273,0,0
906,1.812303,0,0
907,1.814276,0,0
908,1.816276,0,0
909,1.818273,0,0
910,1.820309,0,0
911,1.822555,0,0
912,1.824306,0,0
913,1.826270,0,0
914,1.828272,0,0
915,1.830269,0,0
916,1.832274,0,0
917,1.834304,0,0
918,1.836307,0,0
919,1.838305,0,0
920,1.840310,0,0
921,1.842278,0,0
922,1.844307,0,0
923,1.846544,0,0
924,1.848272,0,0
925,1.850276,0,0
926,1.852368,0,0
927,1.854399,0,0
928,1.856275,0,0
929,1.858421,0,0
930,1.860279,0,0
931,1.862273,0,0
932,1.864297,0,0
933,1.866271,0,0
934,1.868271,0,0
935,1.870275,0,0
936,1.872278,0,0
937,1.874279,0,0
938,1.876275,0,0
939,1.878275,0,0
940,1.880279,0,0
941,1.882273,0,0
942,1.884271,0,0
943,1.886275,0,0
944,1.888273,0,0
945,1.890541,0,0
946,1.892273,0,0
947,1.894276,0,0
948,1.896306,0,0
949,1.898279,0,0
950,1.900368,0,0
951,1.902279,0,0
952,1.904277,0,0
953,1.906279,0,0
954,1.908521,0,0
955,1.910431,0,0
956,1.912363,0,0
957,1.914353,0,0
958,1.916353,0,0
959,1.918322,0,0
960,1.920271,0,0
961,1.922252,0,0
962,1.924272,0,0
963,1.926251,0,0
964,1.928255,0,0
965,1.930257,0,0
966,1.932248,0,0
967,1.934249,0,0
968,1.936268,0,0
969,1.938250,0,0
970,1.940252,0,0
971,1.942311,0,0
972,1.944278,0,0
973,1.946271,0,0
974,1.948442,0,0
975,1.950466,0,0
976,1.952336,0,0
977,1.954308,0,0
978,1.956536,0,0
979,1.958271,0,0
980,1.960370,0,0
981,1.962271,0,0
982,1.964269,0,0
983,1.966276,0,0
984,1.968362,0,0
985,1.970271,0,0
986,1.972273,0,0
987,1.974273,0,0
988,1.976271,0,0
989,1.978276,0,0
990,1.980270,0,0
991,1.982280,0,0
992,1.984279,0,0
993,1.986432,0,0
994,1.988275,0,0
995,1.990366,0,0
996,1.992321,0,0
997,1.994274,0,0
998,1.996284,0,0
999,1.998292,0,0
1000,2.000379,0,0
1001,2.002491,0,0
1002,2.004271,0,0
1003,2.006503,0,0
1004,2.008278,0,0
1005,2.010269,0,0
1006,2.012269,0,0
1007,2.014357,0,0
1008,2.016368,0,0
1009,2.018347,0,0
1010,2.020355,0,0
1011,2.022269,0,0
1012,2.024315,0,0
1013,2.026380,0,0
1014,2.028440,0,0
1015,2.030368,0,0
1016,2.032426,0,0
1017,2.034458,0,0
1018,2.036493,0,0
1019,2.038304,0,0
1020,2.040306,0,0
1021,2.042274,0,0
1022,2.044300,0,0
1023,2.046271,0,0
1024,2.048278,0,0
1025,2.050417,0,0
1026,2.052313,0,0
1027,2.054273,0,0
1028,2.056279,0,0
1029,2.058278,0,0
1030,2.060273,0,0
1031,2.062278,0,0
1032,2.064275,0,0
1033,2.066273,0,0
1034,2.068273,0,0
1035,2.070270,0,0
1036,2.072406,0,0
1037,2.074270,0,0
1038,2.076516,0,0
1039,2.078311,0,0
1040,2.080377,0,0
1041,2.082461,0,0
1042,2.084540,0,0
1043,2.086275,0,0
1044,2.088433,0,0
1045,2.090285,0,0
1046,2.092275,0,0
1047,2.094269,0,0
1048,2.096304,0,0
1049,2.098275,0,0
1050,2.100524,0,0
1051,2.102437,0,0
1052,2.104425,0,0
1053,2.106278,0,0
1054,2.108274,0,0
1055,2.110367,0,0
1056,2.112308,0,0
1057,2.114386,0,0
1058,2.116447,0,0
1059,2.118272,0,0
1060,2.120251,0,0
1061,2.122428,0,0
1062,2.124255,0,0
1063,2.126257,0,0
1064,2.128251,0,0
1065,2.130253,0,0
1066,2.132255,0,0
1067,2.134274,0,0
1068,2.136253,0,0
1069,2.138257,0,0
1070,2.140272,0,0
1071,2.142276,0,0
1072,2.144276,0,0
1073,2.146275,0,0
1074,2.148336,0,0
1075,2.150500,0,0
1076,2.152304,0,0
1077,2.154273,0,0
1078,2.156309,0,0
1079,2.158278,0,0
1080,2.160549,0,0
1081,2.162309,0,0
1082,2.164276,0,0
1083,2.166389,0,0
1084,2.168305,0,0
1085,2.170276,0,0
1086,2.172277,0,0
1087,2.174315,0,0
1088,2.176335,0,0
1089,2.178302,0,0
1090,2.180270,0,0
1091,2.182269,0,0
1092,2.184391,0,0
1093,2.186470,0,0
1094,2.188276,0,0
1095,2.190503,0,0
1096,2.192277,0,0
1097,2.194271,0,0
1098,2.196331,0,0
1099,2.198308,0,0
1100,2.200313,0,0
1101,2.202340,0,0
1102,2.204270,0,0
1103,2.206522,0,0
1104,2.208277,0,0
1105,2.210371,0,0
1106,2.212332,0,0
1107,2.214349,0,0
1108,2.216271,0,0
1109,2.218493,0,0
1110,2.220275,0,0
1111,2.222391,0,0
1112,2.224492,0,0
1113,2.226384,0,0
1114,2.228337,0,0
1115,2.230278,0,0
1116,2.232278,0,0
1117,2.234271,0,0
1118,2.236272,0,0
1119,2.238388,0,0
1120,2.240373,0,0
1121,2.242469,0,0
1122,2.244501,0,0
1123,2.246306,0,0
1124,2.248276,0,0
1125,2.250433,0,0
1126,2.252531,0,0
1127,2.254565,0,0
1128,2.256276,0,0
1129,2.258302,0,0
1130,2.260369,0,0
1131,2.262277,0,0
1132,2.264273,0,0
1133,2.266310,0,0
1134,2.268500,0,0
1135,2.270306,0,0
1136,2.272388,0,0
1137,2.274421,0,0
1138,2.276312,0,0
1139,2.278286,0,0
1140,2.280393,0,0
1141,2.282311,0,0
1142,2.284277,0,0
1143,2.286313,0,0
1144,2.288348,0,0
1145,2.290274,0,0
1146,2.292272,0,0
1147,2.294277,0,0
1148,2.296305,0,0
1149,2.298360,0,0
1150,2.300367,0,0
1151,2.302425,0,0
1152,2.304458,0,0
1153,2.306270,0,0
1154,2.308273,0,0
1155,2.310271,0,0
1156,2.312269,0,0
1157,2.314249,0,0
1158,2.316250,0,0
1159,2.318254,0,0
1160,2.320271,0,0
1161,2.322252,0,0
1162,2.324254,0,0
1163,2.326255,0,0
1164,2.328248,0,0
1165,2.330250,0,0
1166,2.332269,0,0
1167,2.334248,0,0
1168,2.336406,0,0
1169,2.338256,0,0
1170,2.340258,0,0
1171,2.342281,0,0
1172,2.344271,0,0
1173,2.346275,0,0
1174,2.348297,0,0
1175,2.350337,0,0
1176,2.352451,0,0
1177,2.354488,0,0
1178,2.356274,0,0
1179,2.358269,0,0
1180,2.360285,0,0
1181,2.362429,0,0
1182,2.364273,0,0
1183,2.366271,0,0
