Index,Time,voltage,velocity
7558,15.117564,-4291,0.0703926906
7559,15.119554,-9814,0.0980904177
7560,15.121556,14685,0.132179916
7561,15.123558,-12336,0.106612787
7562,15.125580,-10604,0.0799803659
7563,15.127562,-8351,0.0703926906
7564,15.129564,6990,0.057609126
7565,15.131554,-3305,0.0118013592
7566,15.133556,9322,-0.0308105182
7567,15.135575,-16564,-0.0467899702
7568,15.137556,-226,-0.0606388338
7569,15.139558,-8472,-0.0947283283
7570,15.141560,2872,-0.113903672
7571,15.143561,11830,-0.0787488744
7572,15.145563,2401,-0.108577192
7573,15.147577,-8700,-0.161842048
7574,15.149556,-11095,-0.165037915
7575,15.151558,13178,-0.150123775
7576,15.153561,4288,-0.152254373
7577,15.155562,3865,-0.157580853
7578,15.157577,-12229,-0.138405502
7579,15.159584,-12291,-0.158646151
7580,15.161564,-15488,-0.163972631
7581,15.163554,-10433,-0.152254373
7582,15.165556,7806,-0.150123775
7583,15.167594,15115,-0.175690904
7584,15.169586,7678,-0.234282225
7585,15.171565,9981,-0.304591835
7586,15.173555,-5251,-0.322701871
7587,15.175557,-3893,-0.328028381
7588,15.177562,509,-0.321636587
7589,15.179577,-12766,-0.252392292
7590,15.181556,-4287,-0.224694565
7591,15.183558,3460,-0.248131096
7592,15.185560,16708,-0.235347524
7593,15.187563,-10730,-0.221498668
7594,15.189582,463,-0.270502329
7595,15.191561,532,-0.292873561
7596,15.193564,6302,-0.243869901
7597,15.195554,-12569,-0.224694565
7598,15.197558,-9470,-0.269437045
7599,15.199670,15933,-0.25984934
7600,15.201558,-2125,-0.201258034
7601,15.203560,1972,-0.238543421
7602,15.205562,-9893,-0.280090004
7603,15.207555,15785,-0.243869901
7604,15.209556,-14578,-0.210845694
7605,15.211579,-4685,-0.243869901
7606,15.213806,-4861,-0.23960872
7607,15.215558,2263,-0.193800941
7608,15.217562,7699,-0.204453915
7609,15.219564,-16486,-0.247065797
7610,15.221615,1077,-0.235347524
7611,15.223560,4903,-0.209780395
7612,15.225562,7467,-0.23960872
7613,15.227555,-12251,-0.25452286
7614,15.229557,-7878,-0.248131096
7615,15.231558,964,-0.237478122
7616,15.233582,-14202,-0.251326978
7617,15.235562,7564,-0.271567613
7618,15.237555,7347,-0.266241133
7619,15.239557,-13323,-0.274763525
7620,15.241558,304,-0.328028381
7621,15.243575,-9095,-0.367444366
7622,15.245555,3391,-0.332289577
7623,15.247559,4846,-0.316310108
7624,15.249560,7008,-0.366379052
7625,15.251563,-17479,-0.391946167
7626,15.253576,-11045,-0.361052573
7627,15.255555,-12499,-0.371705532
7628,15.257560,11840,-0.388750285
7629,15.259562,-6744,-0.355726093
7630,15.261564,12400,-0.391946167
7631,15.263676,5984,-0.482496411
7632,15.265562,454,-0.502737045
7633,15.267554,13211,-0.491018802
7634,15.269584,-6445,-0.508063555
7635,15.271563,-8931,-0.492084086
7636,15.273554,17713,-0.436688632
7637,15.275584,-5707,-0.43349275
7638,15.277554,11590,-0.419643909
7639,15.279556,12040,-0.402599156
7640,15.281557,-885,-0.383423775
7641,15.283559,-11623,-0.364248455
7642,15.285580,5394,-0.354660779
7643,15.287561,7798,-0.288612366
7644,15.289563,10921,-0.228955746
7645,15.291564,-5967,-0.250261694
7646,15.293555,16212,-0.241739303
7647,15.295586,2202,-0.192735642
7648,15.297556,-17917,-0.174625605
7649,15.299558,-17713,-0.175690904
7650,15.301560,-13807,-0.119230159
7651,15.303561,-6584,-0.027614627
7652,15.305581,13924,-0.0627694279
7653,15.307562,13055,-0.122426055
7654,15.309554,-6696,-0.150123775
7655,15.311556,10387,-0.186343864
7656,15.313558,-3923,-0.250261694
7657,15.315560,1041,-0.266241133
7658,15.317583,3425,-0.18953976
7659,15.319562,1539,-0.167168513
7660,15.321564,-2068,-0.190605044
7661,15.323554,-7516,-0.168233812
7662,15.325556,-11014,-0.136274904
7663,15.327651,8721,-0.145862579
7664,15.329562,-10162,-0.152254373
7665,15.331563,-410,-0.142666683
7666,15.333554,-12388,-0.136274904
7667,15.335556,-7630,-0.171429709
7668,15.337580,-1611,-0.187409163
7669,15.339559,12202,-0.183147982
7670,15.341561,13509,-0.190605044
7671,15.343562,14366,-0.251326978
7672,15.345554,3239,-0.274763525
7673,15.347581,-12815,-0.250261694
7674,15.349560,6408,-0.253457576
7675,15.351562,7893,-0.204453915
7676,15.353565,-15216,-0.113903672
7677,15.355555,-2335,-0.125621945
7678,15.357585,-15042,-0.128817827
7679,15.359564,-17569,-0.0851406604
7680,15.361554,17439,-0.0904671401
7681,15.363556,8530,-0.135209605
7682,15.365558,15763,-0.129883125
7683,15.367641,-1547,-0.174625605
7684,15.369564,1467,-0.25452286
7685,15.371554,-17674,-0.243869901
7686,15.373556,17941,-0.174625605
7687,15.375558,2228,-0.136274904
7688,15.377606,3644,-0.143731982
7689,15.379562,5036,-0.111773081
7690,15.381564,309,-0.0957936272
7691,15.383585,-8122,-0.108577192
7692,15.385565,2660,-0.0872712582
7693,15.387557,3431,-0.0457246788
7694,15.389584,-3829,-0.0148310643
7695,15.391563,15472,-0.0393328965
7696,15.393564,-7178,-0.0361370035
7697,15.395555,-3751,-0.0073739849
7698,15.397559,-17907,-0.0137657672
7699,15.399594,662,-0.0158963613
7700,15.401578,-5361,0.0384337828
7701,15.403557,-12263,0.0341725945
7702,15.405560,682,-0.00524339126
7703,15.407564,-17976,-0.00417809468
7704,15.409554,3145,-0.0222881436
7705,15.411580,4717,-0.0925977379
7706,15.413559,-17078,-0.126687244
7707,15.415562,8454,-0.143731982
7708,15.417554,-11647,-0.165037915
7709,15.419556,-7105,-0.217237473
7710,15.421558,1625,-0.226825163
7711,15.423576,-9397,-0.249196395
