Index,Time,voltage,velocity
383,0.765979,-1419,0.0482430384
384,0.767981,-15418,0.00882705022
385,0.769983,306,-0.0178053752
386,0.771986,6176,-0.0241971556
387,0.774002,10835,-0.0348501243
388,0.775982,-6709,-0.0923761502
389,0.777983,-5306,-0.160555169
390,0.779985,16699,-0.13498804
391,0.781989,-15653,-0.10942091
392,0.784101,7222,-0.115812689
393,0.785988,16260,-0.122204475
394,0.787979,13726,-0.0636131465
395,0.789981,9892,-0.0572213605
396,0.791985,-12926,-0.121139176
397,0.793987,6126,-0.0380460136
398,0.796077,-2160,0.0780713558
399,0.798000,-6922,0.0620918944
400,0.799979,16406,0.0802019462
401,0.801983,9020,0.169686884
402,0.803985,-17743,0.165425688
403,0.805987,-10730,0.0706142709
404,0.807999,-1281,0.0919202119
405,0.809978,-1358,0.200580493
406,0.811982,10420,0.164360404
407,0.813984,16792,0.0546348169
408,0.815986,4220,0.097246699
409,0.818022,-15027,0.111095563
410,0.820007,-17345,-0.00182591891
411,0.821988,-4848,0.0588960052
412,0.823979,-4036,0.211233467
413,0.825981,-673,0.152642146
414,0.827982,-2042,0.0407859571
415,0.830009,-8028,0.0620918944
416,0.831979,7050,0.0375900641
417,0.833980,-16027,-0.122204475
418,0.835982,-13190,-0.128596246
419,0.837984,-8511,-0.0518948771
420,0.840000,-12612,-0.105159715
421,0.841980,-4748,-0.174404025
422,0.843982,-1195,-0.193579376
423,0.845984,7741,-0.237256542
424,0.847987,10505,-0.339525044
425,0.850001,-15529,-0.410899907
426,0.852006,-16097,-0.39811638
427,0.853985,6492,-0.401312262
428,0.855987,-6666,-0.405573428
429,0.857988,-8311,-0.377875715
430,0.859979,14567,-0.402377576
431,0.862002,14032,-0.442858845
432,0.863982,8278,-0.451381207
433,0.865983,16583,-0.513168454
434,0.867985,-9601,-0.518494904
435,0.869987,-6136,-0.417291701
436,0.872006,15198,-0.359765649
437,0.873985,6373,-0.327806771
438,0.875987,12109,-0.232995346
439,0.877989,-10783,-0.21382001
440,0.879979,-5535,-0.234060645
441,0.881983,10275,-0.181861117
442,0.884002,6417,-0.125400349
443,0.885981,1005,-0.116877981
444,0.887983,-14858,-0.11474739
445,0.889985,-6480,-0.0838537812
446,0.891989,-2995,-0.049764283
447,0.894122,-10097,-0.0668090358
448,0.895988,9177,-0.0604172498
449,0.897979,-10759,-0.073200807
450,0.899980,4342,-0.106225014
451,0.901984,7687,-0.171208128
452,0.903986,8798,-0.186122298
453,0.906004,-179,-0.174404025
454,0.907999,3170,-0.20423235
455,0.909978,-3657,-0.185056999
456,0.911983,9379,-0.116877981
457,0.913984,-12516,-0.103029124
458,0.915999,-2000,-0.0987679362
459,0.917978,-12301,-0.0486989841
460,0.919980,-15997,-0.0327195302
461,0.921984,620,-0.0593519509
462,0.923986,-6176,-0.0977026448
463,0.926000,12652,-0.0955720469
464,0.927979,2023,-0.170142829
465,0.929981,-6513,-0.252170712
466,0.931985,9859,-0.242583036
467,0.933988,10127,-0.238321841
468,0.936007,-8960,-0.248974815
469,0.937986,8493,-0.225538284
470,0.939989,2021,-0.1839917
471,0.941981,214,-0.136053324
472,0.943983,-12381,-0.13924922
473,0.946004,-16049,-0.136053324
474,0.947983,14904,-0.0614825487
475,0.949985,10248,-0.0540254675
476,0.951989,11881,-0.124335065
477,0.953979,2208,-0.152032793
478,0.956029,-14410,-0.136053324
479,0.957986,17463,-0.125400349
480,0.959988,-5986,-0.10942091
481,0.962001,11847,-0.0433725007
482,0.963980,17263,-0.0050218096
483,0.965982,-12783,-0.012478888
484,0.968008,11395,0.0162841287
485,0.969987,7021,0.0397206619
486,0.971980,-13505,0.0908549204
487,0.973982,5523,0.141989157
488,0.975984,-13747,0.145185053
489,0.977998,-4528,0.194188714
490,0.979978,7853,0.187796935
491,0.981982,488,0.128140315
492,0.983984,-5089,0.136662677
493,0.985986,8745,0.111095563
494,0.988030,16428,0.05783071
495,0.989978,17002,0.0684836805
496,0.991982,2716,0.0738101676
497,0.993984,17832,0.0716795698
498,0.995986,-6643,0.135597393
499,0.997988,-14587,0.215494648
500,1.000002,16045,0.253845334
501,1.001983,10317,0.338003814
502,1.003985,-17969,0.408313423
503,1.005987,-8545,0.350787371
504,1.007978,-1267,0.325220227
505,1.009999,4158,0.412574619
506,1.011980,-1804,0.375289202
507,1.013982,15111,0.264498323
508,1.016008,-13773,0.301783711
509,1.017988,-12427,0.322024375
510,1.020008,-14419,0.217625245
511,1.021978,-13762,0.239996493
512,1.023980,-14677,0.335873216
513,1.025982,-3872,0.244257674
514,1.027984,365,0.11322616
515,1.030000,244,0.097246699
516,1.031982,-9525,0.0162841287
517,1.033983,14512,-0.133922741
518,1.035986,-2320,-0.141379818
519,1.037988,-12407,-0.0987679362
520,1.039978,15809,-0.173338726
521,1.042009,-5675,-0.182926401
522,1.043978,15940,-0.0827884823
523,1.045980,-10040,-0.121139176
524,1.047982,8488,-0.176534623
525,1.049984,10378,-0.0795925856
526,1.052005,-9836,-0.0380460136
527,1.053984,6669,-0.0849190801
528,1.055986,2311,-0.049764283
529,1.057978,-14264,0.0354594737
530,1.059980,8187,0.00350056589
531,1.062005,-2768,-0.0305889361
532,1.063984,-3838,0.0599613041
533,1.065986,4502,0.042916555
534,1.067988,5933,-0.0582866594
535,1.069978,-7661,-0.0103482939
536,1.072004,6884,0.0301329885
537,1.074001,-17249,-0.0391113125
538,1.075981,15143,-0.0241971556
539,1.077982,3710,0.0450471453
540,1.079984,11212,0.0152188325
541,1.082009,-8673,-0.031654235
542,1.083987,10025,-0.00821770076
543,1.085978,9061,0.0439818464
544,1.087980,-8626,0.0343941748
545,1.089982,16787,0.0407859571
546,1.092001,-16199,0.097246699
547,1.093980,4444,0.137727976
548,1.095982,14061,0.108964965
549,1.097984,-10027,0.126009718
550,1.099986,2659,0.179274544
551,1.102008,10564,0.122813828
552,1.103987,-3502,0.122813828
553,1.105978,12100,0.176078677
554,1.107979,-17514,0.141989157
555,1.109981,-14222,0.155838013
556,1.112006,-7469,0.217625245
557,1.113986,-13629,0.219755843
558,1.115988,-13073,0.182470441
559,1.117978,-6165,0.135597393
560,1.119980,-17676,0.0833978355
561,1.122037,-7195,-0.00182591891
562,1.123984,-10448,-0.116877981
563,1.125986,4284,-0.15948987
564,1.128020,14007,-0.208493531
565,1.129988,1069,-0.326741457
566,1.131981,7106,-0.381071627
567,1.134074,212,-0.377875715
568,1.135986,-8357,-0.366157442
569,1.137988,12215,-0.356569797
570,1.139978,-2100,-0.30330494
571,1.141982,16669,-0.236191243
572,1.143984,17491,-0.259627789
573,1.146003,-17343,-0.271346062
574,1.147982,10405,-0.212754712
575,1.149984,-11048,-0.177599922
576,1.151988,7992,-0.125400349
577,1.153978,8185,-0.073200807
578,1.155980,16917,-0.0636131465
579,1.158005,14190,-0.049764283
580,1.159985,3349,-0.0582866594
581,1.161988,-11821,-0.0327195302
582,1.163980,-5639,0.0471777394
583,1.165982,14316,0.122813828
584,1.167984,14585,0.168621585
585,1.170000,-17111,0.187796935
586,1.171981,12695,0.176078677
587,1.173983,-13952,0.192058116
588,1.175985,-7625,0.225082323
589,1.177986,-4099,0.210168168
590,1.180001,-15139,0.224017024
591,1.181982,1846,0.259171814
592,1.184018,-6668,0.160099208
593,1.186007,-10692,0.0940508097
594,1.187986,13419,0.097246699
595,1.189988,-4216,0.041851256
596,1.192009,1373,-0.0284583438
597,1.193989,7647,-0.0614825487
598,1.195979,7344,-0.0465683937
599,1.197981,6734,-0.0391113125
600,1.199983,-8947,-0.0700049177
601,1.202005,-7042,-0.0220665615
602,1.203986,-7123,0.0493083298
603,1.205988,-15169,0.0471777394
604,1.207978,1645,0.0301329885
605,1.209980,-6772,0.042916555
606,1.212007,8543,0.00669645658
607,1.213987,11083,-0.0966373459
608,1.215989,6013,-0.132857442
609,1.217979,10303,-0.132857442
610,1.219981,10303,-0.124335065
611,1.221985,8509,-0.1445757
612,1.224005,-15271,-0.125400349
613,1.225984,-15271,-0.0433725007
614,1.227986,-15999,0.0120229414
615,1.229987,11337,0.0503736287
616,1.231981,-14306,0.102573186
617,1.234104,16582,-0.00289121573
618,1.235981,16582,-0.00289121573
619,1.237983,-11566,-0.0252624527
620,1.240005,-2620,-0.0412419066
621,1.241987,16289,-0.106225014
622,1.243989,11765,-0.0465683937
623,1.246008,774,0.0013699719
624,1.247987,-10661,-0.064678438
625,1.249978,-10226,-0.0156747792
626,1.251982,-12335,0.107899666
627,1.253984,-7344,0.0844631344
628,1.256002,-3567,0.0290676914
629,1.257981,-11500,0.0833978355
630,1.259983,9434,0.0354594737
631,1.261987,3596,-0.116877981
