Index,Time,motor1Vel,motor2Vel,motor3Vel,motor4Vel,subsystems::current
7476,74.761624,-812.311157,-942.477783,-753.563354,-935.042725,-0.260522187
7477,74.771619,-811.368713,-941.849487,-750.945374,-936.508789,-0.260255694
7478,74.781626,-808.331848,-942.268372,-748.536865,-935.252136,-0.259922564
7479,74.791625,-809.693176,-941.849487,-750.107605,-937.451294,-0.259589374
7480,74.801619,-810.949829,-942.058899,-750.945374,-938.917358,-0.259256244
7481,74.811616,-808.122375,-942.268372,-753.772766,-938.707947,-0.258923113
7482,74.821616,-806.865784,-942.058899,-752.516235,-938.079651,-0.258589923
7483,74.831619,-808.750732,-942.687256,-746.966003,-937.451294,-0.258256793
7484,74.841595,-807.284607,-942.268372,-745.290466,-936.508789,-0.257923663
7485,74.851624,-807.075195,-942.268372,-748.327393,-935.042725,-0.257590473
7486,74.861616,-807.912964,-940.697571,-748.327393,-935.880493,-0.257257342
7487,74.871618,-806.865784,-944.467529,-745.290466,-935.461609,-0.256924212
7488,74.881615,-803.514709,-940.697571,-741.52063,-937.241882,-0.256591022
7489,74.891602,-803.724182,-944.258057,-744.138611,-939.12677,-0.256257892
7490,74.901617,-805.294922,-940.907043,-746.756592,-938.917358,-0.255924761
7491,74.911624,-801.734436,-944.676941,-744.766907,-940.069275,-0.255591571
7492,74.921623,-799.849548,-940.907043,-741.730103,-936.508789,-0.255258441
7493,74.931623,-801.734436,-945.724182,-742.148865,-938.289063,-0.254925311
7494,74.941599,-800.687256,-942.477783,-741.939453,-935.461609,-0.254592121
7495,74.951624,-800.058899,-945.305298,-741.311218,-934.309692,-0.25425899
7496,74.961618,-800.687256,-941.116455,-741.939453,-935.461609,-0.25392586
7497,74.971616,-799.849548,-944.258057,-739.530945,-937.451294,-0.25359267
7498,74.981617,-798.488159,-940.697571,-739.740356,-937.870178,-0.25325954
7499,74.991618,-797.440979,-944.467529,-737.750732,-938.917358,-0.252926409
7500,75.001605,-799.535339,-941.849487,-737.54126,-938.498474,-0.252593219
7501,75.011618,-799.325928,-945.095825,-737.960144,-938.079651,-0.252260089
7502,75.021616,-795.241882,-941.849487,-736.703491,-937.451294,-0.251926959
7503,75.031618,-794.718201,-944.467529,-734.923218,-936.299377,-0.251593769
7504,75.041626,-794.299377,-940.697571,-736.284607,-936.508789,-0.251260638
7505,75.051782,-793.880493,-943.10614,-735.865784,-936.089905,-0.250927508
7506,75.061605,-793.671021,-940.069275,-734.504333,-936.089905,-0.250594318
7507,75.071622,-794.718201,-942.896667,-732.933594,-937.451294,-0.250261188
7508,75.081620,-793.671021,-940.697571,-732.514709,-937.870178,-0.249928057
7509,75.091618,-791.05304,-943.525024,-732.514709,-938.917358,-0.249594867
7510,75.101622,-791.262512,-940.488159,-732.095825,-937.451294,-0.249261737
7511,75.111622,-793.671021,-943.315552,-732.305298,-937.660767,-0.248928607
7512,75.121598,-790.110535,-940.278687,-730.525024,-935.042725,-0.248595417
7513,75.131618,-788.016235,-942.896667,-729.268433,-936.299377,-0.248262286
7514,75.141618,-788.853882,-942.477783,-727.278687,-936.089905,-0.247929156
7515,75.151617,-789.69165,-943.10614,-726.650391,-937.870178,-0.247595966
7516,75.161618,-787.283142,-942.896667,-728.849548,-938.498474,-0.247262836
7517,75.171622,-786.026489,-943.734436,-730.315613,-939.440979,-0.246929705
7518,75.181625,-787.492554,-942.896667,-725.707947,-938.917358,-0.246596515
7519,75.191624,-786.864258,-942.896667,-725.289063,-938.289063,-0.246263385
7520,75.201623,-782.884888,-943.315552,-725.498474,-935.880493,-0.245930254
7521,75.211621,-782.466003,-943.734436,-726.126831,-936.508789,-0.245597064
7522,75.221619,-785.084045,-943.525024,-725.498474,-935.671021,-0.245263934
7523,75.231596,-782.466003,-940.697571,-723.299377,-936.299377,-0.244930804
7524,75.241619,-781.418823,-941.325928,-722.880493,-935.252136,-0.244597614
7525,75.251621,-781.837708,-939.859802,-721.62384,-937.241882,-0.244264483
7526,75.261621,-783.199097,-941.849487,-721.309692,-937.660767,-0.243931353
7527,75.271621,-782.256592,-941.116455,-721.309692,-938.707947,-0.243598163
7528,75.281598,-781.209351,-942.477783,-721.833252,-937.451294,-0.243265033
7529,75.291618,-782.047119,-941.535339,-720.262512,-937.660767,-0.242931902
7530,75.301618,-781.628235,-942.268372,-719.110535,-935.461609,-0.242598712
7531,75.311617,-779.219727,-941.849487,-717.43512,-936.089905,-0.242265582
7532,75.321620,-777.230042,-943.315552,-717.43512,-934.100281,-0.241932452
7533,75.331622,-779.848022,-941.535339,-716.702026,-933.262512,-0.241599262
7534,75.341745,-778.800842,-942.268372,-717.225647,-932.634155,-0.241266131
7535,75.351600,-775.868713,-941.325928,-715.654846,-933.681396,-0.240933001
7536,75.361621,-775.449829,-943.10614,-716.492554,-931.69165,-0.240599811
7537,75.371617,-775.868713,-942.058899,-714.293518,-933.681396,-0.240333319
7538,75.381626,-776.811157,-944.048645,-713.874634,-933.471924,-0.240000129
7539,75.391620,-777.858337,-943.315552,-713.036865,-934.62384,-0.239666998
7540,75.401621,-775.030945,-944.048645,-711.675476,-929.702026,-0.239333868
7541,75.411597,-771.99408,-941.116455,-712.199097,-931.063354,-0.239000678
7542,75.421623,-773.983704,-941.849487,-713.874634,-930.853882,-0.238667548
7543,75.431620,-773.250732,-940.069275,-714.084045,-928.864258,-0.238334417
7544,75.441621,-771.99408,-941.116455,-713.246277,-926.874634,-0.238001227
7545,75.451616,-770.63269,-939.859802,-710.418823,-927.293518,-0.237668097
7546,75.461604,-770.004333,-939.440979,-707.800842,-927.607605,-0.237334967
7547,75.471622,-769.376038,-938.289063,-704.449829,-928.026489,-0.237001777
7548,75.481624,-769.166626,-938.289063,-706.439514,-926.874634,-0.236668646
7549,75.491621,-767.386414,-938.917358,-708.429138,-924.675476,-0.236335516
7550,75.501622,-766.443909,-938.707947,-709.685791,-920.800842,-0.236002326
7551,75.511615,-768.014709,-936.508789,-707.06781,-920.067749,-0.235669196
7552,75.521620,-767.595825,-937.241882,-704.868713,-919.439453,-0.235336065
7553,75.531617,-763.616455,-935.252136,-702.983704,-919.858337,-0.235002875
7554,75.541625,-762.569275,-938.707947,-700.784607,-921.010315,-0.234669745
7555,75.551603,-765.815552,-934.100281,-701.831848,-920.591431,-0.234336615
7556,75.561620,-765.815552,-935.042725,-702.983704,-919.020569,-0.234003425
7557,75.571626,-763.197571,-932.634155,-702.774292,-918.811157,-0.233670294
7558,75.581624,-760.998474,-930.64447,-701.203491,-917.240356,-0.233337164
7559,75.591620,-760.160767,-928.654846,-699.423218,-915.04126,-0.233003974
7560,75.601596,-762.359802,-930.853882,-698.376038,-912.423218,-0.232670844
7561,75.611616,-762.150391,-926.874634,-697.433594,-911.376038,-0.232337713
7562,75.621618,-758.799377,-929.073669,-695.758057,-910.643005,-0.232004523
7563,75.631623,-758.589905,-925.199097,-697.433594,-911.794922,-0.231671393
7564,75.641620,-759.53241,-922.999939,-697.433594,-912.004333,-0.231338263
7565,75.651622,-759.218201,-921.848022,-695.44397,-910.433594,-0.231005073
7566,75.661598,-756.809692,-922.476379,-693.977844,-908.967529,-0.230671942
7567,75.671621,-755.55304,-922.999939,-695.234497,-909.176941,-0.230338812
7568,75.681621,-754.401123,-924.256592,-692.616455,-907.187256,-0.230005622
7569,75.691620,-755.971924,-920.381958,-692.825928,-905.197571,-0.229672492
7570,75.701622,-755.762512,-918.811157,-689.370178,-903.626831,-0.229339361
7571,75.711624,-751.992554,-917.659241,-688.951294,-904.359802,-0.229006171
7572,75.721782,-753.353943,-918.811157,-688.218201,-904.150391,-0.228673041
7573,75.731604,-754.924744,-916.402588,-690.417358,-901.741882,-0.228339911
7574,75.741623,-752.202026,-916.402588,-690.207947,-903.417358,-0.228006721
7575,75.751619,-751.154846,-914.622375,-690.626831,-902.370178,-0.22767359
7576,75.761626,-748.746277,-909.805298,-690.417358,-899.542725,-0.22734046
7577,75.771624,-749.374634,-911.376038,-687.589905,-897.971924,-0.22700727
7578,75.781623,-749.793518,-910.433594,-683.610596,-899.542725,-0.226674139
7579,75.791618,-749.165161,-910.433594,-680.364258,-897.971924,-0.226341009
7580,75.801623,-747.908508,-908.025024,-681.725647,-894.516174,-0.226007819
7581,75.811625,-744.976379,-908.234436,-682.144531,-895.14447,-0.225674689
7582,75.821623,-744.138611,-905.616455,-681.202026,-896.401123,-0.225341558
7583,75.831626,-747.384888,-907.815552,-682.563416,-895.563354,-0.225008368
7584,75.841618,-746.547119,-904.778687,-681.516235,-895.982239,-0.224675238
7585,75.851638,-744.557495,-904.150391,-679.526489,-892.317078,-0.224342108
7586,75.861601,-741.730103,-901.008789,-679.526489,-891.374634,-0.224008918
7587,75.871625,-742.148865,-904.359802,-677.117981,-890.95575,-0.223675787
7588,75.881626,-743.300842,-897.762512,-676.699097,-889.384888,-0.223342657
7589,75.891622,-744.557495,-901.53241,-675.547119,-888.547119,-0.223009467
